"2020 Men"
"rank          firstname     lastname        country   skill           points"
"1 Novak         Djokovic        SRB                100             10220"
"2 Rafael        Nadal           ESP                 95              9850"
"3 Dominic       Thiem           AUT                 91              7045"
"4 Roger         Federer         SUI                 90              6630"
"5 Daniil        Medvedev        RUS                 88              5890"
"6 Stefanos      Tsitsipas       GRC                 84              4745"
"7 Alexander     Zverev          GER                 83              3630"
"8 Matteo        Berrettini      ITA                 83              2860"
"9 Gael          Monfils         FRA                 82              2860"
"10 David         Goffin          BEL                 81              2555"
"11 Fabio         Fognini         ITA                 80              2400"
"12 Roberto       Bautista        ESP                 77              2360"
"13 Diego         Schwartzman     ARG                 76              2265"
"14 Andrey        Rublev          RUS               75.75             2234"
"15 Karen         Khachanov       RUS                75.5             2120"
"16 Denis         Shapovalov      CAN               75.25             2075"
"17 Stan          Wawrinka        SUI                 75              2060"
"18 Christian     Garin           CHL               74.75             1900"
"19 Grigor        Dimitrov        BUL                74.5             1850"
"20 Felix         Auger-Aliassime CAN               74.25             1771"
"21 John          Isner           USA                 74              1760"
"22 Benoit        Paire           FRA               73.75             1738"
"23 Dusan         Lajovic         SRB                73.5             1695"
"24 Taylor        Fritz           USA               73.25             1510"
"25 Pablo         Carreno Busta   ESP                 73              1500"
"26 Alex          De Minaur       AUS               72.75             1485"
"27 Nikoloz       Basilashvili    GEO                72.5             1395"
"28 Daniel        Evans           GBR               72.25             1359"
"29 Hubert        Hurkacz         POL                 72              1353"
"30 Milos         Raonic          CAN               71.75             1350"
"31 Kei           Nishikori       JPN                71.5             1345"
"32 Filip         Krajinovic      SRB               71.25             1343"
"33 Borna         Coric           CRO                 71              1320"
"34 Jan-Lennard   Struff          GER               70.75             1315"
"35 Guido         Pella           ARG                70.5             1310"
"36 Casper        Ruud            NOR               70.25             1279"
"37 Marin         Cilic           CRO                 70              1225"
"38 Adrian        Mannarino       FRA               69.75             1191"
"39 Reilly        Opelka          USA                69.5             1177"
"40 Nick          Kyrgios         AUS               69.25             1170"
"41 Albert        Ramos-Vinolas   ESP                 69              1130"
"42 Ugo             Humbert         FRA   68.75   1111"
"43 John            Millman         AUS    68.5   1071"
"44 Kyle            Edmund          GBR   68.25   1050"
"45 Sam             Querrey         USA     68    1045"
"46 Lorenzo         Sonego          ITA   67.75   1030"
"47 Miomir          Kecmanovic      SRB    67.5   1028"
